car_model,price,year_model,kms
Volkswagen Jetta 2.0 Trendline 4 p,$41.000.000,2015,84.000
Volkswagen Jetta 2.0 Trendline,$54.000.000,2017,51.248
Volkswagen Jetta 2.0 Trendline,$35.000.000,2013,166.400
Volkswagen Jetta 2.0 Europa,$40.500.000,2015,89.000
Volkswagen Jetta 1.8 Gli,$65.000.000,2011,68.000
Volkswagen Jetta Trendline 2.0cc AT AA 4X2,$38.900.000,2013,89.355
Volkswagen Jetta 2.0 Comfortline,$49.000.000,2015,85.000
Volkswagen Jetta 1.8 Gli,$48.500.000,2014,98.500
Volkswagen Nuevo Jetta 2500cc At Aa,$34.800.000,2012,109.300
Volkswagen Jetta COMFORTLINE AUTOMATICO,$116.990.000,2024,0
Volkswagen Jetta High Line,$120.990.000,2024,0
Volkswagen Jetta 2.0 Comfortline,$52.000.000,2016,90.000
Volkswagen Jetta Confort Line,$74.000.000,2020,55.000
Volkswagen Jetta 2.0 Gli,$112.000.000,2017,82.000
Volkswagen Jetta 2.0 Trendline,$22.190.000,2007,119.000
Volkswagen Jetta 1800cc Turbo Gli  At Aa,$46.000.000,2014,58.700
"Volkswagen Jetta Highline 1,4 Turbo At",$109.900.000,2023,16.702
Volkswagen Jetta 2.0 Gli,$117.400.000,2020,35.911
Volkswagen Jetta Trendline Mt,$43.900.000,2014,84.023
Volkswagen Jetta 2.0 Trendline,$41.000.000,2014,92.500
Volkswagen Jetta Gli 2024 Entrega Inmediata!!,$153.990.000,2024,0
Volkswagen Jetta 2.5 Comfortline,$41.000.000,2014,92.500
Volkswagen Jetta NUEVO JETTA TRENDLINE,$39.900.000,2012,148.000
Volkswagen Jetta 1.4 Tsi Comfortline,$71.000.0005% OFF,2020,31.000
Volkswagen Jetta Highline,$120.990.000,2024,0
Volkswagen Jetta 1.4 Tsi Comfortline,$81.990.0005% OFF,2022,20.200
Volkswagen Jetta 1.8 Gli,$47.000.000,2013,73.000
Volkswagen Jetta 2.0 Gli,$78.900.000,2017,82.461
Volkswagen Jetta 1.4 Tsi Comfortline,$75.000.000,2019,25.500
Volkswagen Jetta 2.0 Gli,$65.000.000,2016,152.000
Volkswagen Jetta 1.4 COMFORTLINE,$72.000.000,2020,38.376
Volkswagen Jetta 1.8 Comfortline,$35.900.000,2007,154.000
Volkswagen Jetta 1.4 Tsi Comfortline,$72.000.000,2020,23.000
Volkswagen Jetta 1.8 Gli,$46.000.000,2013,92.000
Volkswagen Jetta Confortline 250TSI,$102.000.000,2023,11.800
Volkswagen Jetta 2.0 Gli,$135.000.000,2020,35.000
Volkswagen Jetta 1.4 Tsi Comfortline,$102.900.000,2023,6.900
Volkswagen Jetta Gli,$154.990.000,2024,0
Volkswagen Jetta 2.0 Comfortline,$54.900.000,2018,61.331
Volkswagen Golf 1.6 Trendline,$38.900.000,2015,75.000
Volkswagen Jetta Trendline,$56.000.000,2017,115.000
Volkswagen Jetta 2.0 Comfortline,$62.990.000,2018,46.709
Volkswagen Jetta 1.4 Tsi Highline,$112.000.000,2022,8.500
Volkswagen Jetta 2.5 Trendline,$36.900.000,2012,163.331
Volkswagen Jetta 1.4 Tsi Comfortline,$70.900.000,2020,63.776
Volkswagen Jetta 2.0 Trendline,$36.000.000,2013,116.000
Volkswagen Jetta 1.4 Tsi Highline,$75.000.000,2019,59.000
Volkswagen Jetta 2.0 Gli,$154.990.000,2023,0
Volkswagen Jetta Trendline Mt 2000cc 2ab Aa,$48.900.000,2017,68.000
Volkswagen Jetta Trendline,$52.990.000,2018,73.008
Volkswagen Jetta Trendline 2.0cc MT AA 4X2,$42.000.000,2014,51.000
Volkswagen Jetta 2.0 Trendline,$38.500.000,2012,63.200
Volkswagen Jetta 2.0 Trendline,$34.000.000,2012,109.000
Volkswagen Jetta 2.0,$41.900.000,2014,96.000
Volkswagen Jetta Trendline 2.0cc AT AA 4X2,$37.500.000,2012,112.800
Volkswagen Jetta 1.8 Turbo,$24.000.000,2007,135.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2012,125.600
Volkswagen Jetta 1.4 Tsi Comfortline,$78.000.000,2020,77.000
Volkswagen Jetta 1.4 Tsi Highline,$129.790.000,2023,0
Volkswagen Jetta 1.8 Gli,$32.000.000,2012,85.000
Volkswagen Jetta 1.4 Turbo At Aa,$95.000.000,2022,15.000
Volkswagen Jetta 2.0 Trendline,$22.000.000,2006,154.000
Volkswagen Jetta 1.4 Tsi Comfortline,$80.000.000,2022,35.000
Volkswagen Nuevo Jetta  2500cc At Aa,$41.900.000,2014,102.000
Volkswagen Jetta Highline,$105.500.000,2023,9.300
Volkswagen Jetta 1.4 Tsi Comfortline,$65.000.000,2019,90.000
Volkswagen Jetta Trendline,$25.000.000,2006,150.000
Volkswagen Jetta 2.0 Gli,$149.900.000,2023,9.900
Volkswagen Jetta 2.5 Trendline,$45.000.000,2014,63.000
Volkswagen Jetta 2.0 Europa,$43.000.000,2014,38.100
Volkswagen Jetta 2.0 Europa,$42.000.000,2015,56.000
Volkswagen Jetta 1.4 Tsi Highline,$74.900.000,2019,67.300
Volkswagen Jetta 2.5 Trendline,$34.000.000,2011,120.000
Volkswagen Jetta 1.4 Tsi Comfortline,$99.000.000,2023,10.300
Volkswagen Jetta 2.0 Comfortline,$52.900.000,2016,63.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$38.000.000,2014,116.000
Volkswagen Jetta 2.0 Comfortline,$54.000.000,2017,114.000
Volkswagen Jetta 2.0l Mec,$24.990.000,2009,111.000
Volkswagen Jetta 2.5 Comfortline,$54.500.000,2016,66.500
Volkswagen VW NEW JETTA 2.5 Comfortline,$38.900.000,2012,75.850
Volkswagen Jetta Trend Line,$53.900.000,2018,56.515
Volkswagen Jetta 2.0 Trendline,$39.500.000,2012,62.000
Volkswagen Jetta 2.0 Gli,$58.900.000,2013,54.000
Volkswagen Jetta 2.0 Europa,$30.000.000,2010,81.500
Volkswagen Jetta 2.0 Europa,$40.000.000,2014,61.000
Volkswagen Jetta 2.5 Highline,$77.900.000,2018,49.000
Volkswagen Jetta 2.0 Trendline,$35.900.000,2013,104.000
Volkswagen Jetta 2.0 Trendline,$28.900.000,2011,131.000
Volkswagen Jetta Comfortline 2.000cc A/t C/a 2016,$49.900.000,2016,60.000
Volkswagen Jetta 1.4 Tsi Highline,$81.800.000,2020,35.000
Volkswagen Jetta Highline,$120.489.999,2024,0
Volkswagen Jetta 1.4 Tsi Sportline,$90.500.000,2020,33.000
Volkswagen Jetta Europa 2.000cc M/t Sun Roof 2009,$27.900.000,2009,120.000
Volkswagen Jetta 1.4 Tsi Comfortline,$82.400.000,2022,35.000
Volkswagen Jetta 2.5 Comfortline,$45.000.000,2011,52.000
Volkswagen Jetta 2.5 Highline,$78.900.000,2018,49.180
Volkswagen Jetta 2.0 Europa,$28.400.000,2011,106.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,64.000
Volkswagen Jetta 1.4 Tsi Comfortline,$99.900.000,2023,6.880
Volkswagen Jetta 2.0 Europa,$36.000.000,2014,102.000
Volkswagen Jetta ,$42.900.000,2015,111.023
Volkswagen Jetta 2.0 Europa,$33.500.000,2014,93.000
Volkswagen Jetta 2.5 Trendline,$38.500.000,2012,63.000
Volkswagen Jetta 2.0 Trendline,$21.900.000,2006,180.000
Volkswagen Jetta 1.4 Tsi Comfortline,$65.000.000,2019,40.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2011,115.500
Volkswagen Jetta 1.4 Tsi Comfortline,$103.300.000,2023,2.340
Volkswagen Jetta 2.5 Comfortline,$44.500.000,2013,72.000
Volkswagen Jetta 2.0 Comfortline,$55.000.000,2016,59.000
Volkswagen Jetta 1.8 Gli,$47.300.000,2012,73.000
Volkswagen Jetta 2.0 Gli,$57.000.000,2012,88.735
Volkswagen Jetta 2.5 Highline,$82.000.000,2019,76.000
Volkswagen Jetta 2.0 Europa,$42.800.000,2015,59.000
Volkswagen Jetta 2.0 Europa,$38.500.000,2015,109.000
Volkswagen Jetta 2.0 Europa,$36.000.000,2014,82.000
